Name,P,q,M1,M2,R1,R2,L1,L2,T1,T2,E_Type
VW boo,0.342315,0.428,1.036,0.443,1.087,0.742,1.012,0.333,5560,5099,C
TW Cet,0.316851,0.75,0.722,0.963,0.831,0.95,0.733,0.886,6765,5230,C
AH Aur,0.494106,0.169,1.669,0.282,1.852,0.891,5.094,1.206,5560,5272,C
AU Ser,0.386498,0.709,0.893,0.633,1.147,0.898,1.19,0.578,5636,5320,C
V2357 Oph,0.415568,0.231,1.16,0.268,1.386,0.705,1.646,0.39,5560,5440,C
AQ Psc,0.475604,0.226,1.661,0.375,1.708,0.891,3.987,0.937,5940,5717,C
DY Cet,0.44079,0.356,1.436,0.511,1.48,0.938,3.84,1.507,5865,5753,C
OU Ser,0.296768,0.173,1.187,0.205,1.155,0.544,1.488,0.292,5940,5759,C
OO Aql,0.506794,0.846,1.067,0.902,1.386,1.288,2.371,1.767,6093,5871,C
EQ Tau,0.34135,0.442,1.245,0.55,1.16,0.805,1.355,0.618,5940,5906,C
VZ Lib,0.358256,0.33,1.063,0.351,1.173,0.72,1.385,0.592,5790,5974,C
AK Her,0.421524,0.277,1.175,0.326,1.372,0.775,3.531,0.76,6765,6130,C
EL Aqr,0.481412,0.203,1.655,0.336,1.764,0.898,6.248,1.025,6881,6137,C
CK Boo,0.355152,0.111,1.584,0.176,1.533,0.65,3.211,0.572,6250,6234,C
AG Vir,0.642648,0.382,2.139,0.817,2.201,1.458,19.432,6.165,6250,6247,C
DZ Psc,0.366131,0.136,1.358,0.185,1.462,0.667,3.174,0.626,6381,6294,C
UZ Leo,0.618057,0.303,2.01,0.609,2.165,1.318,10.964,4.089,6881,6378,C
V839 Oph,0.409008,0.305,1.63,0.497,1.546,0.955,3.55,1.392,6381,6424,C
V407 Peg,0.636882,0.256,1.922,0.492,1.965,1.305,9.928,2.62,7300,6438,C
V357 Peg,0.57845,0.401,1.72,0.69,2.12,1.25,9.673,2.406,7000,6438,C
XX Sex,0.540108,0.1,1.301,0.13,1.87,0.696,7.021,0.717,6650,6448,C
AP Leo,0.430358,0.297,1.437,0.427,1.486,0.872,3.019,1.037,6650,6616,C
V868 Mon,0.637704,0.373,2.117,0.79,2.209,1.465,10.494,3.614,6514,6662,C
HI Pup,0.432618,0.19,1.245,0.237,1.519,0.763,3.721,1.029,6881,6801,C
NN Vir,0.480688,0.491,1.774,0.871,1.723,1.294,6.941,4.033,7148,7201,C
Y Sex,0.487736,0.195,1.471,0.287,1.568,0.795,4.305,0.979,7300,7265,C
TY Pup,0.819243,0.25,1.422,0.272,2.448,1.248,12.041,2.987,7640,7744,C
EW ORI,6.9368,0.52,1.05,0.55,0.98,0.68,0.89,0.98,5660,5720,C
UX MEN,4.1811,0.52,1.05,0.55,0.98,0.68,0.89,0.98,5660,5720,C
AQ SER,1.68739,0.38,1.2,0.45,1.14,0.64,1.2,2.454708916,9700,6280,C
UZ DRA,3.2613,0.55,1.25,0.69,1.12,0.64,1.2,2.454708916,9700,6280,C
V 646 CEN,2.24657,0.55,1.25,0.69,1.12,0.64,1.2,2.454708916,9700,6280,C
WX CNC,1.22458,0.4,1.55,0.63,1.4,0.8,4.68,5.12861384,6180,6820,C
WX CNC,1.22458,0.4,1.55,0.63,1.4,0.8,4.68,5.12861384,6180,6820,C
HY MON,1.56574,0.64,1.5,0.95,1.4,1,5.13,6.165950019,6350,7020,C
EP AUR,0.591009,0.64,1.5,0.95,1.4,1,5.13,6.165950019,6350,7020,C
SS BOO,7.60606,0.45,1.22,0.55,1.14,0.7,1.35,7.244359601,5930,7220,C
BU VUL,0.568993,0.45,1.22,0.55,1.14,0.7,1.35,7.244359601,5930,7220,C
U CrB,3.4522,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
